time	bpb	status	desc
2026-03-19 13:12:36	2.958742	discard	MATRIX_LR=0.04448620699533688	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:12:36	2.960072	discard	MATRIX_LR=0.04708986199971384	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:23:01	2.950768	discard	MATRIX_LR=0.047202206997141796	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:23:43	2.943770	discard	MATRIX_LR=0.04396750400117776	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:36:35	3.067346	discard	MATRIX_LR=0.042433145996588886	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:36:35	3.063386	discard	MATRIX_LR=0.042511270997742795	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:46:39	2.932788	discard	MATRIX_LR=0.048728275001444485	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:46:39	2.936441	discard	MATRIX_LR=0.04334758300110737	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:59:14	2.926114	discard	MATRIX_LR=0.048212195995531865	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 13:59:14	2.927534	discard	MATRIX_LR=0.043691109994332275	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:07:58	2.953623	discard	MATRIX_LR=0.04735381399900469	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:07:58	2.954534	discard	MATRIX_LR=0.04695132600411844	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:16:52	2.963721	discard	MATRIX_LR=0.04446156399651032	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:16:52	2.961691	discard	MATRIX_LR=0.046139382003217246	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:25:16	2.931465	discard	MATRIX_LR=0.04163849299691358	Qwen3-4B-presinq-Q4_K_S.gguf
2026-03-19 14:25:17	2.931593	discard	MATRIX_LR=0.045808645002870255	Qwen3-4B-presinq-Q4_K_S.gguf
